Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,5000000,1,35.8,11.9,14.8,2.72,3,3,Кирпично-Монолитный,Ломоносовский,Проспект Ветеранов,11.4
Квартира,11000000,3,74.0,41.8,9.6,2.6,15,22,Индивидуальный,Красногвардейский,Гражданский  проспект,
Квартира,12115000,2,62.8,30.07,14.21,,1,11,Кирпично-Монолитный,Выборгский,Лесная,1.2
Квартира,10300000,2,59.2,33.0,10.8,2.65,3,10,121 серия,Приморский,Комендантский  проспект,3.3
Квартира,3500000,1,34.2,15.9,10.0,2.65,7,9,Панельный,Всеволожский,Ладожская,13.1
Квартира,4550000,1,32.7,13.74,8.73,,14,17,Кирпично-Монолитный,Всеволожский,Девяткино,3.4
Квартира,6000000,1,30.1,17.0,5.5,2.5,3,5,Кирпичный,Приморский,Черная речка,0.5
Студия,8800000,0,27.1,14.0,6.0,2.5,2,17,Индивидуальный,Василеостровский,,
Квартира,5694000,1,36.98,19.05,9.42,,16,21,Кирпично-Монолитный,Всеволожский,Девяткино,1.7
Квартира,16900000,1,43.62,15.9,15.76,2.7,4,10,Индивидуальный,Петроградский,,
Квартира,7000000,2,54.6,30.1,10.1,2.7,4,5,Кирпичный,Невский,Рыбацкое,2.1
Квартира,9979000,3,107.78,58.8,16.11,2.7,2,4,Кирпично-Монолитный,Всеволожский,Рыбацкое,24.0
Квартира,4990000,1,28.1,18.0,5.5,,1,8,Блочный,Кировский,Ленинский  проспект,0.5
Квартира,8500000,2,38.1,21.7,9.4,3.15,2,3,Ст.Фонд Кап.Рем.,Петродворцовый,Новокрестовская,20.0
Студия,5100000,0,25.5,14.0,,2.7,5,19,Кирпично-Монолитный,Василеостровский,Приморская,2.3
Студия,3800000,0,28.0,18.0,,,1,5,Кирпично-Монолитный,Всеволожский,Ладожская,14.0
Квартира,17040000,2,75.48,31.15,20.08,3.2,4,14,Кирпично-Монолитный,Приморский,Черная речка,1.2
Квартира,7490000,1,31.3,16.6,8.0,2.68,5,16,Монолитно-панельный,Невский,Улица Дыбенко,2.6
Квартира,9200000,3,83.4,48.7,10.6,2.67,3,4,Кирпично-Монолитный,Всеволожский,Улица Дыбенко,17.0
Квартира,9400000,2,47.1,24.7,7.0,2.64,3,14,Индивидуальный,Невский,,
Квартира,25000000,4,110.1,68.0,17.0,3.8,4,6,Старый фонд (СФ),Центральный,Чернышевская,0.1
Квартира,4700000,1,39.1,18.0,9.0,3.0,11,15,Панельный,Всеволожский,Девяткино,2.2
Квартира,10490000,2,47.5,32.16,6.4,2.5,9,12,Кирпичный,Выборгский,Удельная,1.2
Квартира,40000000,2,82.0,33.2,31.7,3.51,5,5,Кирпичный,Центральный,Адмиралтейская,0.5
Квартира,6450000,2,45.1,26.9,5.0,2.57,3,5,Кирпичный,Кронштадтский,Старая Деревня,26.9
Квартира,22500000,3,110.0,62.3,15.9,2.64,17,17,Панельный,Приморский,Комендантский  проспект,
Квартира,6500000,1,30.9,17.9,5.5,2.5,2,5,Кирпичный,Московский,,
Квартира,31900000,2,76.3,45.7,16.3,3.0,4,11,Монолит,Петроградский,Чкаловская,0.9
Квартира,9550000,2,56.8,29.0,13.7,2.7,1,10,Монолит,Всеволожский,Ладожская,8.2
Квартира,11700000,2,69.0,26.0,20.0,2.7,10,27,Индивидуальный,Всеволожский,,
Квартира,4900000,1,34.5,19.5,7.5,2.6,3,16,Панельный,Всеволожский,Улица Дыбенко,15.8
Квартира,18500000,8,147.2,100.2,14.1,2.93,4,5,Кирпичный,Адмиралтейский,Садовая,0.3
Квартира,6990000,1,35.3,15.0,11.2,2.54,2,27,Индивидуальный,Выборгский,,
Студия,4642000,0,15.67,15.67,,2.7,9,26,Кирпично-Монолитный,Московский,Звездная,1.4
Квартира,18000000,1,50.7,15.61,20.03,2.8,5,10,Кирпичный,Центральный,,
Квартира,6350000,1,34.6,10.1,14.1,2.5,2,15,Индивидуальный,Всеволожский,,
Квартира,5900000,1,42.6,19.0,11.0,,7,10,Монолитно-панельный,Пушкинский,Купчино,9.5
Квартира,12500000,3,71.0,45.0,10.0,2.65,2,25,Кирпично-Монолитный,Московский,Звездная,2.0
Квартира,27550000,3,108.5,45.08,26.46,2.75,2,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Студия,4850000,0,23.2,16.5,2.0,2.75,15,18,Индивидуальный,Московский,,
Квартира,12300000,2,77.2,42.0,17.0,5.0,4,4,Кирпичный,Петродворцовый,Новокрестовская,20.4
Квартира,25000000,6,171.6,100.0,16.0,2.64,5,6,Индивидуальный,Петроградский,,
Квартира,11500000,3,91.0,53.7,12.4,,11,17,Панельный,Кировский,Ленинский  проспект,5.2
Квартира,5900000,1,37.0,11.4,14.5,,5,16,Кирпично-Монолитный,Выборгский,Парнас,4.4
Квартира,5850000,1,33.4,17.5,9.0,2.6,8,9,Кирпичный,Кировский,Проспект Ветеранов,2.4
Квартира,17600000,3,88.0,55.0,13.4,3.15,5,5,Кирпичный,Центральный,Маяковская,0.7
Квартира,4850000,1,30.7,16.9,5.4,2.5,1,5,Хрущевка,Московский,Звездная,1.6
Квартира,11000000,2,73.3,38.8,15.4,2.5,6,9,504 серия,Красногвардейский,Ладожская,2.5
Квартира,4900000,1,28.7,15.0,9.0,2.55,1,9,Кирпичный,Кировский,Проспект Ветеранов,0.9
Квартира,12900000,3,64.2,40.9,7.1,2.65,2,10,Кирпичный,Курортный,Беговая,36.2
Квартира,34000000,7,165.6,101.8,10.9,3.16,6,6,Кирпичный,Центральный,Чернышевская,0.2
Квартира,7600000,1,37.5,15.6,12.7,2.5,4,19,Индивидуальный,Московский,Московская,
Квартира,39500000,4,99.0,58.0,8.9,,7,7,Кирпичный,Центральный,Чернышевская,1.3
Квартира,9400000,3,79.7,48.8,11.4,2.6,2,9,Индивидуальный,Пушкинский,,
Студия,5396000,0,29.17,20.65,,2.6,4,21,Кирпично-Монолитный,Всеволожский,Девяткино,1.7
Студия,4999000,0,21.0,2.0,19.0,2.75,22,24,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,150000000,4,170.6,95.6,25.0,3.2,6,10,Кирпично-Монолитный,Центральный,Чернышевская,1.0
Квартира,40000000,3,117.0,90.3,15.1,3.1,2,6,Монолит,Петроградский,Крестовский остров,0.9
Квартира,7065000,2,44.7,30.0,6.0,2.5,5,5,Индивидуальный,Фрунзенский,,
Квартира,9400000,2,60.0,32.0,16.5,3.0,6,12,Монолит,Всеволожский,Улица Дыбенко,2.4
Квартира,26890000,2,78.2,42.0,21.0,3.0,5,8,Индивидуальный,Петроградский,,
Квартира,1990000,2,43.8,30.3,5.3,2.5,1,2,Кирпичный,Выборгский,Беговая,70.7
Квартира,14500000,1,65.4,21.7,18.0,,13,17,Кирпичный,Приморский,Беговая,0.4
Квартира,5700000,1,33.0,16.0,10.0,2.8,16,25,Индивидуальный,Всеволожский,,
Квартира,5470000,1,36.0,15.3,8.8,2.5,4,9,Индивидуальный,Всеволожский,,
Квартира,24650000,6,122.7,93.8,8.5,3.5,1,5,Сталинский,Выборгский,Лесная,0.1
Квартира,13300000,2,49.8,31.0,6.6,3.3,2,4,Кирпичный,Центральный,Владимирская,0.3
Студия,6100000,0,22.6,17.0,2.0,2.64,9,20,Индивидуальный,Василеостровский,,
Квартира,5200000,1,32.5,13.5,9.5,2.75,13,25,Кирпично-Монолитный,Пушкинский,Купчино,2.2
Студия,4800000,0,27.41,17.66,2.0,2.65,12,21,Индивидуальный,Всеволожский,,
Квартира,9540000,1,42.1,21.3,10.9,2.8,20,27,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.9
Квартира,4200000,1,31.0,18.0,5.8,,1,5,Кирпичный,Петродворцовый,Беговая,25.2
Квартира,10950000,3,60.4,42.8,7.2,2.64,3,5,Панельный,Калининский,Гражданский  проспект,
Квартира,19700000,4,94.2,70.4,7.5,3.25,2,4,Кирпичный,Центральный,Чернышевская,1.1
Квартира,5890000,1,35.0,15.0,9.0,2.64,2,12,Индивидуальный,Всеволожский,,
Квартира,4999000,1,35.28,11.39,15.8,2.5,13,15,Индивидуальный,Всеволожский,,
Квартира,5600000,1,35.66,14.0,11.0,2.67,7,8,Монолит,Красносельский,Проспект Ветеранов,9.1
Квартира,5750000,1,33.97,10.56,16.15,2.57,13,13,Индивидуальный,Калининский,,
Квартира,6000000,2,42.2,28.0,7.3,,2,9,Блочный,Кировский,Проспект Ветеранов,0.9
Квартира,9900000,1,46.9,23.7,8.9,,5,5,Кирпичный,Петроградский,Чкаловская,0.1
Студия,6641000,0,28.19,19.15,,2.55,23,24,Кирпично-Монолитный,Невский,Ломоносовская,4.1
Квартира,16790000,2,51.0,22.7,13.5,,14,14,Кирпично-Монолитный,Приморский,Черная речка,1.0
Квартира,12300000,1,40.8,22.7,9.3,2.8,3,14,Кирпичный,Приморский,Черная речка,0.8
Квартира,9900000,1,34.0,18.0,9.0,2.7,4,17,Монолит,Василеостровский,Приморская,2.6
Квартира,16999000,2,62.1,35.0,11.0,2.75,2,16,Индивидуальный,Приморский,,
Квартира,10200000,3,61.2,38.8,7.3,3.45,1,3,Индивидуальный,Пушкинский,Шушары,10.6
Квартира,10300000,1,57.8,15.0,25.0,2.8,10,24,Индивидуальный,Фрунзенский,Купчино,1.6
Квартира,5599000,2,54.0,32.0,8.1,2.55,2,5,Панельный,Ломоносовский,Проспект Ветеранов,10.7
Квартира,7470000,2,43.7,28.2,12.0,3.2,3,5,Индивидуальный,Адмиралтейский,,
Студия,4100000,0,20.5,14.9,3.0,2.62,5,11,Индивидуальный,Пушкинский,,
Квартира,11938000,2,67.0,33.0,14.0,,3,3,Панельный,Гатчинский,Московская,33.8
Квартира,6990000,2,51.0,31.6,6.0,2.5,2,9,602 серия,Фрунзенский,Купчино,1.1
Квартира,8000000,2,53.0,27.8,12.0,3.2,11,25,Монолит,Пушкинский,Купчино,2.3
Квартира,5500000,1,36.7,20.0,8.0,2.7,6,9,Индивидуальный,Всеволожский,,
Квартира,9800000,2,50.0,29.4,8.8,2.5,6,10,Кирпичный,Приморский,Комендантский  проспект,1.2
Квартира,6350000,2,46.6,30.3,6.0,2.55,4,5,Блочный,Фрунзенский,Международная,1.0
Квартира,11985000,2,64.3,31.9,13.8,2.8,7,26,Кирпично-Монолитный,Приморский,Пионерская,0.5
Квартира,20499000,4,129.3,83.2,13.2,2.5,5,5,Индивидуальный,Адмиралтейский,,
Квартира,21930000,3,100.0,45.8,20.4,2.75,3,4,Кирпично-Монолитный,Фрунзенский,Волковская,0.5
Квартира,24900000,3,100.5,61.9,20.7,,6,6,Сталинский,Московский,Парк Победы,0.8
Квартира,12778000,2,66.2,34.9,12.8,2.5,5,25,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.8
Квартира,11750000,2,67.6,22.0,20.0,2.6,20,27,Кирпично-Монолитный,Выборгский,Парнас,1.6
Квартира,8740000,1,36.5,17.0,8.6,2.76,8,8,Кирпичный,Выборгский,Проспект Просвещения,0.2
Квартира,6200000,1,39.6,20.3,8.4,2.6,11,12,Монолитно-панельный,Приморский,Озерки,1.5
Квартира,19990000,3,78.2,52.4,5.9,,4,5,Кирпичный,Петроградский,Горьковская,0.9
Квартира,13600000,4,63.3,52.7,5.2,2.87,5,5,Старый фонд (СФ),Василеостровский,Василеостровская,1.8
Студия,10800000,0,31.5,22.0,3.0,,7,14,Монолит,Невский,Фрунзенская,0.3
Студия,5378000,0,23.53,12.0,,2.6,13,14,Кирпично-Монолитный,Кировский,Кировский завод,0.2
Квартира,5800000,1,31.1,17.8,5.5,2.64,4,5,Индивидуальный,Московский,Московская,
Квартира,9000000,2,59.0,31.3,9.9,2.73,3,16,Монолитно-панельный,Невский,Ломоносовская,4.2
Студия,5500000,0,26.0,20.0,2.0,2.8,27,28,Индивидуальный,Выборгский,,
Квартира,2900000,1,34.0,18.0,5.7,2.6,2,5,Кирпичный,Всеволожский,Ладожская,28.6
Квартира,11800000,3,66.0,42.0,8.5,2.5,15,16,Кирпичный,Фрунзенский,Дунайская,1.0
